Kingdom,Phylum,Class,Order,Family,Author,Genus,Author,Scientific Name,Author,Year,Status,Accepted as,Bengali Name,English Name,Size (cm),Common Family,Common Group,Habit,Conservation Status,Distribution in Bengal,References
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Ardea,Linnaeus,Ardea purpurea,Linnaeus,1766,Accepted as,Ardea purpurea,"?????? ?? (Halder, 2010)",Purple Heron,86,Bitterns,Large Heron,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 15; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Ardea,Linnaeus,Ardea sacra,Gmelin,1789,Synonym for,Egretta sacra,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Ardea,Linnaeus,Ardea striata,Linnaeus,1758,Synonym for,Butorides striata,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Ardeola,F. Boie,Ardeola bacchus,Bonaparte,1855,Accepted as,Ardeola bacchus,"???? ?? (Halder, 2010)","Chinese Pond Heron, Pond Heron",52,Bitterns,Pond Heron,Vagrant,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 17; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Ardeola,F. Boie,Ardeola grayii,Sykes,1832,Accepted as,Ardeola grayii,"?????? (Halder, 2010)","Indian Pond Heron, Paddybird",46,Bitterns,Pond Heron,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 17; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Ardeola,F. Boie,Ardeola striata,Linnaeus,1758,Synonym for,Butorides striata,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Arenaria,Brisson,Arenaria interpres,Linnaeus,1758,Accepted as,Arenaria interpres,"??? ????????? (Halder, 2010)",Ruddy Turnstone,22,Sandpipers,,Migratory,LC,Bangladesh,BLI (2018); Chowdhury (2011). p 20; GBIF (2018); Halder (2010). p 59; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Passeriformes,Artamidae,Vigors,Artamus,Vieillot,Artamus fuscus,Vieillot,1817,Accepted as,Artamus fuscus,"?????? (Halder, 2010)","Ashy Woodswallow, Ashy Swallow-shrike",19,Woodswallow,Woodswallow,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 128; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Strigiformes,Strigidae,Leach,Asio,Brisson,Asio accipitrinus,Zarudny & Loudon,1906,Synonym for,Asio flammeus,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Strigiformes,Strigidae,Leach,Asio,Brisson,Asio flammeus,Pontoppidan,1763,Accepted as,Asio flammeus,"?????? ????? (Halder, 2010)",Short-eared Owl,38,Owl,Tropical Owl,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 121; IUCN (2018); Wikipedia (2018)
